性別,年齡,悲傷- 患者反應1,悲傷- 患者反應2,悲傷- 患者反應3,悲傷- 這是由特別事件引起的嗎？,悲傷- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,悲傷- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 謝謝。現在我會問一些問題以了解您的情況。,悲傷- 您是否對某人有強烈的感受或表達以下任何情緒：,悲傷- 您認為您應該成為別人的救星嗎？,悲傷- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,悲傷- 您覺得您在試圖控制某人嗎？,悲傷- 當出現問題時，您是否總是責怪和指責自己？,悲傷- 在之前的對話中，您是否考慮過其他提出的觀點？,悲傷- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,憤怒- 患者反應1,憤怒- 患者反應2,憤怒- 患者反應3,憤怒- 這是由特別事件引起的嗎？,憤怒- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,憤怒- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 謝謝。現在我會問一些問題以了解您的情況。,憤怒- 您是否對某人有強烈的感受或表達以下任何情緒：,憤怒- 您認為您應該成為別人的救星嗎？,憤怒- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,憤怒- 您覺得您在試圖控制某人嗎？,憤怒- 當出現問題時，您是否總是責怪和指責自己？,憤怒- 在之前的對話中，您是否考慮過其他提出的觀點？,憤怒- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,焦慮- 患者反應1,焦慮- 患者反應2,焦慮- 患者反應3,焦慮- 這是由特別事件引起的嗎？,焦慮- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,焦慮- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 謝謝。現在我會問一些問題以了解您的情況。,焦慮- 您是否對某人有強烈的感受或表達以下任何情緒：,焦慮- 您認為您應該成為別人的救星嗎？,焦慮- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,焦慮- 您覺得您在試圖控制某人嗎？,焦慮- 當出現問題時，您是否總是責怪和指責自己？,焦慮- 在之前的對話中，您是否考慮過其他提出的觀點？,焦慮- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,快樂- 患者反應1,快樂- 患者反應2,快樂- 患者反應3,快樂- 那很好！讓我推荐一個您可以嘗試的協議。,所有情緒- 根據您所說的，我相信您正在感受{}。這個對嗎？,所有情緒- 我很抱歉。請從下面的情緒中選擇最能反映您感受的情緒：,所有情緒- 感謝您的參與。再見,所有情緒- 這是我的建議，請選擇您想嘗試的協議,所有情緒- 請現在嘗試通過此協議。完成後，按“繼續”,所有情緒- 採取此協議後，您感覺更好還是更糟？,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺好多了）,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺更糟）
男性,40-49,我感到非常難過。昨晚我失去了親人。,我很鬱悶我考試不及格。,我一點都不舒服。一切事情都不順。,在這種感覺之前發生了什麼嗎？,這個事件是最近發生的還是很久以前發生的？,,,我很感激你的分享。讓我們再談談這個。,您是否感覺到或與其他人談論過以下任何情緒：,,,,,,,我很生氣。我老闆給我寫的！,我氣得要死。我輸了一個大賭注。,我生氣了。我厭倦了我的妻子。,很抱歉你有這種感覺，我想知道更多關於發生的事情。這是由特定事件引起的嗎？,這是最近發生的還是前一段時間發生的？,,,我能理解生氣是什麼感覺，並想提供幫助。如果你不介意的話，讓我們多談談這個。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我做得不太好。,我今天很難過。,我並不像我想的那樣快樂。,為了讓您感覺更好，我需要了解是否發生了什麼事情導致了這種情況。是否有特定事件讓您感到悲傷？,了解您處理此問題的時間很重要。請問這是最近發生的事件還是遙遠的事件？,我們過去的事件可能會引發情緒高漲。你在做協議6 時是否經歷過強烈的負面情緒？,我們最近發生的事件可能會引發情緒高漲。您在執行協議11 時是否經歷過強烈的負面情緒？,我很感激你與我分享這個。如果您覺得合適，我希望您現在提供更多信息給我。,您自己是否經歷過這些負面情緒和/或向其他人展示過這些負面情緒：,,,,,,,我很心煩。,我很生氣。,我對某人生氣。,哦，我很遺憾聽到它，我想更多地了解是什麼讓你有這種感覺。是因為某個特定的事件嗎？,最近或很久以前的事件是你有這種感覺的原因嗎？,謝謝，我能理解。完成協議6 是否讓您重溫了這次令人不安的事件的情緒？,謝謝，我能理解。完成協議11 是否讓您重溫了這次令人不安的事件的情緒？,我現在想獲得更多信息，以便更好地幫助您。,很抱歉你感覺不好，想通過更多調查來幫助你。您是否表達過或經歷過以下任何負面情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我感覺沒那麼好。,我昨天和朋友鬧翻了,我今天好難過,哦，聽到這個我很抱歉。是特定情況導致的嗎？,這是由最近或遙遠的事件引起的嗎？,您最近是否嘗試過協議6 並發現由於舊的記憶而重新點燃了這種無法控制的感覺？,你最近有沒有嘗試過協議11 並發現這種由於最近的記憶而重新點燃的無法控制的感覺？,很抱歉聽到你的麻煩。我現在要問一些問題，以了解您的情況。,您是否對某人有以下感受或表達過以下感受：,,,,,,,我今天感覺不太好。,我對同事的行為感到憤怒。,真的受夠了這個。,這是由特定情況引起的嗎？,這是由最近或遙遠的情況引起的嗎？,最近，您是否嘗試過協議6 並發現它從舊情況中帶回了負面情緒？,最近，您是否嘗試過協議11 並發現它從舊情況中帶回了負面情緒？,現在我會問一些問題以更好地理解這種情況。,您是否對某人明確感受到或表達了以下任何感受：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,特別糟糕,我想哭,我很鬱悶,有沒有發生什麼事情讓你有這種感覺？,事件是最近發生的還是過去發生的？,重溫過去的負面事件會讓您感到非常不舒服嗎？,重溫最近發生的這件負面事件，您真的會感到不自在嗎？,謝謝你向我解釋這個。我想問一些後續問題。,您是否對他人有以下強烈的情緒：,,,,,,,我很生氣,我想喊,我很不高興,有沒有人或事讓你生氣？,這個事件是最近發生的還是很久以前發生的？,如果您嘗試過協議6，這是一種困難的體驗嗎？,如果您嘗試過協議11，這是一種困難的體驗嗎？,我要感謝你如此開放。如果你不介意，我現在再問你一些問題。,在您的生活中，您是否對其他人有以下任何情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我心情不好。,我覺得自己很糟糕。,我覺得有點絕望。,你認為有什麼特別的事情讓你有這種感覺嗎？你可以對我敞開心扉。,謝謝，我想知道您認為您生活中的什麼事件引發了這種感覺。這是最近發生的事件還是更遙遠的過去？,你認為現在回想這件事會傷害你嗎？,你認為現在回想這件事會傷害你嗎？,為了詳細了解您有這種感覺的原因，如果可以的話，我現在想請教您一些問題。,我很感謝你分享的感受。請問您是否有過以下感受：,,,,,,,我他媽的氣死了。,我厭倦了這種狗屎。,我完全瘋了。,謝謝，我想更好地了解正在發生的事情。請告訴我，這是由特定事件引起的嗎？,這個事件和你感受到的情緒是最近發生的，還是由遙遠的過去發生的事情引起的？,您是否認為嘗試協議6（如果您最近這樣做）會在這裡產生負面影響？,你認為嘗試協議11，如果你最近這樣做了，在這裡有負面影響嗎？,很好，謝謝你的坦率和誠實。我想問一些問題，以便更好地了解您的情況。,您是否有任何這些強烈的情緒和/或您曾與任何人專門討論過這些情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,由於我的健康狀況，感覺非常糟糕。,由於無法參加家庭活動，我感覺不太好。,我沒有那麼好，因為我被上級罵了。,你還記得是否有什麼事情讓你有這種感覺嗎？,請問是最近發生的還是很久以前的？,您是否嘗試過使用協議6 並且它是否帶回了不舒服的情緒？,您是否嘗試過使用協議11 並且它是否帶回了不舒服的情緒？,我很欣賞你的開放。我還有幾件事想了解。,最近您是否對他人有以下任何一種感覺：,,,,,,,我感到非常生氣，因為一個陌生人襲擊了我。,我感到非常生氣，因為我的兒子不聽從我的指示。,我感到非常生氣，因為我姐姐傷害了我很多。,有沒有一件特別的事情讓你有這種感覺？,你開始有這種感覺是因為最近發生的事情，還是更遙遠的過去重新出現的事情？,你有沒有嘗試過協議6，你是否發現它引發了你過去無法控制的情緒？,你有沒有嘗試過協議11，你是否發現它引發了你過去無法控制的情緒？,我希望我們今天能解決問題，讓你感覺更好。我還有幾個問題要問是否可以。,您是否對另一個人真正感受到或採取了以下任何一種情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,50-59,我覺得很難受。,我想我不能再繼續下去了。,我的生活一片混亂。,你能想到讓你開始有這種感覺的具體事件嗎？,這是由於最近或更遠的事件引起的嗎？,您最近是否嘗試過協議6，並發現它使過去事件產生的無法控制的情緒恢復生機？,您最近是否嘗試過協議11，並發現它使最近發生的事件引起的無法控制的情緒恢復生機？,非常感謝。現在，如果可以的話，我將嘗試更好地了解您的情況。,您是否對任何人經歷或表現出以下任何情緒：,,,,,,,每個人都反對我——我的老闆、我的丈夫和我的孩子。,我太生氣了，我可以殺了人。,我對家鄉的情況感到非常生氣。,是否有特定事件導致了這種情況？,你會說最近或遙遠的事件導致了這種情況嗎？,您最近是否嘗試過協議6 並經歷過因過去的事件而導致您無法控制的重新點燃的情緒？,您最近是否嘗試過協議11，並經歷過因過去的事件而導致您無法控制的重新點燃的情緒？,感謝您迄今為止的合作。如果您同意，我想繼續提出一些問題，以便更好地了解您的情況。,您是否對任何人經歷或表現出以下任何情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,50-59,感覺鬱悶今天工作不順利。,只是感覺真的處於我生命中的低谷，似乎什麼都不對。,我今天失去了一個親密的朋友，感到非常難過和孤獨。,很抱歉聽到這個，我可以理解。是否有導致這種情況的事件？,有這種感覺是可以的。這個事件是最近發生的還是不久前發生的？,協議6 可以喚起您可能很久都沒有感受到的情緒，所以我想知道這是否是您的正確選擇。有沒有可能你最近嘗試了協議6，這又重新點燃了這些負面情緒？,協議11 可以喚起您一段時間內可能沒有感受到的情緒，所以我想知道它是否是您的正確選擇。有沒有可能你最近嘗試了協議11，這又重新點燃了負面情緒？,我明白你正在經歷什麼。我現在想問一些問題，以進一步了解您的困境。,困難的情況會使我們的情緒感到緊張。您是否有任何這些強烈的感受和/或您向另一個人表達過它們：,,,,,,,我對我的朋友很生氣，因為他不服從我。,我對我弟弟很生氣。,我對我朋友的不當行為感到憤怒。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,不好，我在工作中度過了緊張的一天。,還好吧，我覺得。,我累了;一切都感覺像是一種努力。,有沒有什麼特別讓你感到難過的事情？,,您是否嘗試遵循協議6，如果是這樣，您是否感到不安？,您是否嘗試遵循協議11，如果是這樣，您是否感到不安？,謝謝分享，我是來聽的。請讓我再問你幾個問題。,您最近是否經歷過以下情緒：,,,,,,,我很生氣。,我只是覺得最近很生氣。,我有很多事情要做；我生氣了。,是不是發生了什麼特別的事情激起了你的憤怒？,觸發是最近發生的事件，還是遙遠的事件？,是否遵循協議6，如果你有，激起任何不愉快的感覺？,遵循協議11（如果有）是否激起了任何不愉快的感覺？,你現在的感受是一種有效的情緒。我想問一些問題以了解您來自哪裡。,如果我問你，你最近有沒有表達過這些情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我真的感到很失落和悲傷。我的伙伴和我分手了。,今天我心情非常低落。我只是沒有一個美好的早晨。,我真的很沮喪，有點絕望。我想我很沮喪。,有沒有發生什麼特別的事情讓你有這種感覺？,我明白。這是最近發生的還是在遙遠的過去發生的事情？,感謝您如此開放，我正在努力確定幫助的最佳方式，並知道重新審視創傷有多麼困難。我很好奇協議6 是否對你來說太痛苦了？,感謝您如此開放，我正在努力確定幫助的最佳方式，並知道重新審視創傷有多麼困難。我很好奇協議11 是否對你來說太痛苦了？,感謝您如此開放，我知道這有多難。我還有幾個問題要嘗試更好地了解您所處的位置以及如何提供幫助。,我將向您展示一系列不健康的情緒，但有時會向他人感受或表達這些不健康的情緒。如果您對生活中的人經歷過以下任何一種情緒，請告訴我：,,,,,,,我現在很生氣，我不知道為什麼。,我氣得快要爆炸了——我哥哥真的知道如何按我的按鈕。,我很生氣，覺得沒有人尊重我。,明白了，謝謝分享有沒有發生什麼讓你有這種感覺的具體事情？,知道了。這是多久以前，最近還是很久以前？,協議6 是難度更大的練習之一，並不適合所有情況；我正在嘗試確定它是否適合您。您是否嘗試過協議6 並發現它太難了？,協議11 是一項更艱鉅的練習，並不適合所有情況；我正在嘗試確定它是否適合您。您是否嘗試過協議11 並發現它太難了？,感謝您到目前為止的耐心等待。我還有幾個問題可以更好地確定如何提供幫助。,我們都會感受到某些情緒，但如果我們專注於它們或根據它們採取行動，那可能是不健康的。最近幾天，您是否對以下任何情緒感到非常強烈或向他人表達過這些情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我真的很不高興，我的小狗昨天跑了，我到處都找不到他。,我感覺很糟糕，我沒有通過我的課程，我不能畢業了。,非常難過，我正在一個悲傷日子的紀念日想起它。,這種感覺是由特定事件引起的嗎？,對不起，那一定很難。是最近發生的事情還是很久以前發生的事情？,您是否嘗試執行協議6，如果是這樣，是否會引發不舒服的感覺？,您是否嘗試執行協議11，如果是這樣，是否會引發不舒服的感覺？,我理解你很傷心，在這種複雜的情況下這是完全有道理的。我現在有幾個問題要問您，以幫助我了解正在發生的事情。,您是否對另一個人感受到或表現出以下任何情緒：,,,,,,,很糟糕,我很生氣,我一點都不開心,是否發生了某個或多個事件導致您出現這種情況？,這是最近發生在你身上的事情，還是來自你更遙遠的過去？,您是否嘗試過協議6 並讓您感到不知所措？,您是否嘗試過協議11 並讓您感到不知所措？,你很堅強，我相信如果我們一起努力，這一切都會過去，你會感覺更好。我現在很想再問一些問題，以便我能理解。,在您的生活中，您是否對他人有強烈的以下情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,不太好，今天早上我下雨淋濕了。,老實說，我心情不太好。我考試沒及格。,太可怕了，昨晚有人闖入我家。,這是因為什麼特別的事情嗎？,這種感覺是因為最近或遙遠的事件而產生的嗎？,您最近是否嘗試過方案6 並因此重溫了創傷性事件？,您最近是否嘗試過協議11 並因此重溫了創傷性事件？,謝謝你。我現在會問你幾個問題，以便更好地了解你的情況。,您最近是否對任何人有過以下情緒：,,,,,,,我現在感到很生氣。,我很生氣。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我感覺不太好。,很不幸，我不太好。,今天我的心情很沉重。,你能想到發生這種情況的具體原因嗎？,你能告訴我更多關於發生的事情嗎？這個事件是遙遠的還是最近的？,您是否嘗試過協議6 並且可能發現這並沒有像您希望的那樣提供幫助？,您是否嘗試過協議11 並且可能發現這並沒有像您希望的那樣有幫助？,謝謝你今天和我分享這個。我還有一些問題要問，以幫助更好地了解您的情況。,我想知道有些情緒最近是否出現在你的生活中。您是否認同以下任何一種情緒：,,,,,,,我一點都不好。其實挺煩的。,我現在很生氣。,我很生氣，想要感覺好點。,我明白了，謝謝你和我分享你的感受，我想知道更多發生的事情。這是由特定原因引起的嗎？,感謝你的分享。這是最近發生的事情還是很久以前發生的事情？,如果您嘗試過協議6，結果如何，是否勾起了不好的回憶？,如果您嘗試過協議11，結果如何，是否勾起了不好的回憶？,謝謝你和我分享這個。我還有幾個問題可以幫助我了解情況。,您是否會說您最近對任何人感到或表達了以下任何情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
